2021-05-30 12:14:26.160 [NODEPAD] Project jmrlab created
2021-05-30 12:14:26.177 [NODEPAD] Strting project 'jmrlab'...
2021-05-30 14:14:26.380 +02:00: Starting project jmrlab (port: 3001)...
2021-05-30 14:14:34.574 +02:00: Request GET /
2021-05-30 14:14:34.704 +02:00: Request GET /favicon.ico
2021-05-30 12:14:51.562 [NODEPAD] Uploading new content to 'jmrlab'
2021-05-30 12:14:51.674 [NODEPAD] Uploading of 'jmrlab' completed
2021-05-30 12:14:51.676 [NODEPAD] Extracting 'jmrlab'...
2021-05-30 12:14:51.689 [NODEPAD] Content of 'jmrlab' extracted
2021-05-30 12:14:51.706 [NODEPAD] Stopping project 'jmrlab'...
2021-05-30 12:14:51.866 [NODEPAD] Installing 'jmrlab'...
2021-05-30 12:14:51.920 [NODEPAD] Content of 'jmrlab' installed
2021-05-30 12:14:51.942 [NODEPAD] Strting project 'jmrlab'...
2021-05-30 14:14:52.125 +02:00: Starting project jmrlab (port: 3001)...
2021-05-30 14:14:53.360 +02:00: Request GET /
2021-05-30 14:14:53.441 +02:00: Request GET /favicon.ico
2021-05-30 16:16:52.008 +02:00: Request GET /favicon.ico
2021-05-30 16:16:55.516 +02:00: Request GET /
2021-05-30 16:16:55.597 +02:00: Request GET /favicon.ico
2021-05-30 16:16:56.388 +02:00: Request GET /
2021-05-30 16:16:56.457 +02:00: Request GET /favicon.ico
2021-05-30 16:33:09.443 +02:00: Request GET /
2021-05-30 16:33:09.565 +02:00: Request GET /favicon.ico
2021-05-30 16:33:10.103 +02:00: Request GET /
2021-05-30 16:33:10.193 +02:00: Request GET /favicon.ico
2021-05-30 16:33:10.507 +02:00: Request GET /
2021-05-30 16:33:10.613 +02:00: Request GET /favicon.ico
2021-05-30 16:33:32.025 +02:00: Request GET /
2021-05-30 16:33:32.209 +02:00: Request GET /favicon.ico
2021-05-30 16:33:32.545 +02:00: Request GET /
2021-05-30 16:33:32.605 +02:00: Request GET /favicon.ico
2021-05-30 16:40:38.329 +02:00: Request GET /
2021-05-30 16:40:38.447 +02:00: Request GET /favicon.ico
2021-05-30 16:40:38.942 +02:00: Request GET /
2021-05-30 16:40:39.006 +02:00: Request GET /favicon.ico
2021-05-30 16:40:39.442 +02:00: Request GET /
2021-05-30 16:40:39.509 +02:00: Request GET /favicon.ico
2021-05-30 16:41:13.947 +02:00: Request GET /
2021-05-30 16:41:14.060 +02:00: Request GET /favicon.ico
2021-05-30 16:41:24.334 +02:00: Request GET /
2021-05-30 16:41:24.442 +02:00: Request GET /favicon.ico
2021-05-30 16:41:24.940 +02:00: Request GET /
2021-05-30 16:41:25.009 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.175 +02:00: Request GET /
2021-05-30 16:41:25.274 +02:00: Request GET /
2021-05-30 16:41:25.277 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.392 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.398 +02:00: Request GET /
2021-05-30 16:41:25.475 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.575 +02:00: Request GET /
2021-05-30 16:41:25.642 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.770 +02:00: Request GET /
2021-05-30 16:41:25.854 +02:00: Request GET /favicon.ico
2021-05-30 16:41:25.953 +02:00: Request GET /
2021-05-30 16:41:26.025 +02:00: Request GET /favicon.ico
2021-05-30 16:41:26.142 +02:00: Request GET /
2021-05-30 16:41:26.211 +02:00: Request GET /favicon.ico
2021-05-30 16:41:26.351 +02:00: Request GET /
2021-05-30 16:41:26.429 +02:00: Request GET /favicon.ico
2021-05-30 16:41:26.529 +02:00: Request GET /
2021-05-30 16:41:26.595 +02:00: Request GET /favicon.ico
2021-05-30 16:41:26.733 +02:00: Request GET /
2021-05-30 16:41:26.804 +02:00: Request GET /favicon.ico
2021-05-30 16:41:26.934 +02:00: Request GET /
2021-05-30 16:41:27.006 +02:00: Request GET /favicon.ico
2021-05-30 16:41:27.128 +02:00: Request GET /
2021-05-30 16:41:27.196 +02:00: Request GET /favicon.ico
2021-05-30 16:41:27.329 +02:00: Request GET /
2021-05-30 16:41:27.396 +02:00: Request GET /favicon.ico
2021-05-30 16:41:27.523 +02:00: Request GET /
2021-05-30 16:41:27.592 +02:00: Request GET /favicon.ico
2021-05-30 16:41:27.702 +02:00: Request GET /
